Date,Postcode,Latitude,Longitude,municipality,Cases_14_days,tasa_incidencia_14dias_100mil_hab,Cases,tasa_incidencia_100mil_hab
2020-04-08,28017,40.208324,-3.920506,Batres,≤ 5,449,8,1798
2020-04-08,28006,40.536775,-3.636715,Alcobendas,293,242,435,359
2020-04-08,28045,40.658667,-3.766386,Colmenar Viejo,150,298,213,423
2020-04-08,28130,40.425407,-3.531359,San Fernando de Henares,152,362,271,645
2020-04-08,28172,40.432630,-3.300648,Villalbilla,26,233,79,707
2020-04-08,28054,40.583929,-4.128830,El Escorial,18,108,39,235
2020-04-08,28042,40.418155,-4.199720,Colmenar del Arroyo,≤ 5,130,≤ 5,259
2020-04-08,28148,40.456944,-3.474071,Torrejón de Ardoz,316,229,777,562
2020-04-08,28114,41.012441,-3.601887,Piñuécar-Gandullas,≤ 5,0,≤ 5,0
2020-04-08,28025,40.229960,-3.108998,Brea de Tajo,≤ 5,408,≤ 5,408
2020-04-08,28086,40.734651,-3.582172,El Molar,14,146,21,219
2020-04-08,28019,40.133640,-3.339156,Belmonte de Tajo,≤ 5,72,≤ 5,145
2020-04-08,28154,40.404535,-3.362162,Torres de la Alameda,21,255,53,643
2020-04-08,28143,41.132147,-3.581913,Somosierra,≤ 5,1613,≤ 5,1613
2020-04-08,28010,40.661543,-4.031172,Alpedrete,39,270,67,464
2020-04-08,28102,40.284955,-3.209756,Orusco de Tajuña,13,1178,16,1449
2020-04-08,28069,41.077753,-3.455159,La Hiruela,≤ 5,9091,≤ 5,9091
2020-04-08,28039,40.921660,-3.530006,Cervera de Buitrago,≤ 5,926,≤ 5,926
2020-04-08,28065,40.309274,-3.729595,Getafe,386,202,763,399
2020-04-08,28122,40.666467,-3.392291,Ribatejada,≤ 5,228,≤ 5,228
2020-04-08,28170,40.103496,-3.485778,Villaconejos,≤ 5,45,8,180
2020-04-08,28164,40.694738,-3.513824,Valdetorres de Jarama,≤ 5,126,11,277
